race_id,year,round_num,event,n_drivers,spearman_model,spearman_baseline,mae_model,mae_baseline,ndcg_model,ndcg_baseline,top3_model,top3_baseline,top5_model,top5_baseline,within2_model,within2_baseline
202206,2022,6,Spanish Grand Prix,20,0.8436090225563909,0.47368421052631576,2.5,4.0,0.9675400483361412,0.8397961585350397,0.3333333333333333,0.3333333333333333,1.0,0.8,0.6,0.4
202208,2022,8,Azerbaijan Grand Prix,20,0.5368421052631579,0.4120300751879699,3.6,4.4,0.9528706081157982,0.8276226931456443,1.0,0.6666666666666666,0.8,0.6,0.55,0.3
202209,2022,9,Canadian Grand Prix,20,0.58796992481203,0.4541353383458646,3.6,4.3,0.961374221044031,0.9401338831093279,0.6666666666666666,0.6666666666666666,0.6,0.6,0.5,0.55
202210,2022,10,British Grand Prix,20,0.6977443609022556,0.5172932330827067,3.4,4.3,0.9633578979809299,0.9616537970551046,0.6666666666666666,0.3333333333333333,0.8,0.8,0.5,0.5
202212,2022,12,French Grand Prix,20,0.7954887218045112,0.4466165413533834,2.5,3.6,0.9827679153477894,0.8439436362186905,0.6666666666666666,0.3333333333333333,1.0,0.6,0.7,0.7
202213,2022,13,Hungarian Grand Prix,20,0.8872180451127819,0.5593984962406015,2.1,4.3,0.982707834816746,0.8874963930308797,0.6666666666666666,0.3333333333333333,0.8,0.4,0.6,0.35
202214,2022,14,Belgian Grand Prix,20,0.9037593984962405,0.2602482320185181,1.8,5.9,0.9815029546951712,0.8572978890807798,0.6666666666666666,0.3333333333333333,1.0,0.6,0.75,0.35
202215,2022,15,Dutch Grand Prix,20,0.9082706766917292,0.7699248120300751,2.1,2.7,0.9768637643994165,0.9763056465936459,0.6666666666666666,0.6666666666666666,1.0,0.8,0.75,0.5
202216,2022,16,Italian Grand Prix,20,0.9443609022556391,0.20300751879699244,1.5,5.7,0.9886487138625677,0.921779555014481,1.0,0.6666666666666666,1.0,0.4,0.85,0.3
202219,2022,19,United States Grand Prix,20,0.8887218045112781,0.16842105263157892,2.0,5.5,0.982027000534615,0.8263039209730536,0.3333333333333333,0.3333333333333333,0.8,0.6,0.7,0.4
202220,2022,20,Mexico City Grand Prix,20,0.7834586466165413,0.8030075187969924,2.6,2.6,0.9571535796203319,0.9848654897373456,0.6666666666666666,0.6666666666666666,0.8,1.0,0.6,0.65
202222,2022,22,Abu Dhabi Grand Prix,20,0.9172932330827066,0.6932330827067669,2.0,3.0,0.9763842655482086,0.9743921674024848,0.6666666666666666,1.0,1.0,0.8,0.7,0.55
202301,2023,1,Bahrain Grand Prix,20,0.819548872180451,0.5097744360902255,2.5,4.2,0.9776671617722522,0.9478323187407202,0.6666666666666666,0.6666666666666666,0.8,0.8,0.55,0.4
202302,2023,2,Saudi Arabian Grand Prix,20,0.8466165413533834,0.5639097744360902,2.4,3.8,0.985973222108346,0.9580214273161233,0.6666666666666666,0.6666666666666666,0.6,0.6,0.55,0.55
202303,2023,3,Australian Grand Prix,20,0.825563909774436,0.15939849624060148,2.6,5.7,0.9765266237684961,0.9005170761433555,0.6666666666666666,0.6666666666666666,0.8,0.6,0.55,0.35
202305,2023,5,Miami Grand Prix,20,0.9398496240601503,0.78796992481203,1.2,2.9,0.9928198207770528,0.9676122931853426,0.6666666666666666,0.6666666666666666,0.8,0.6,0.8,0.5
202307,2023,7,Spanish Grand Prix,20,0.8887218045112781,0.6030075187969924,2.1,3.6,0.988356595526803,0.9424902694777345,0.6666666666666666,0.3333333333333333,0.8,0.6,0.6,0.5
202308,2023,8,Canadian Grand Prix,20,0.8706766917293233,0.5323308270676691,2.2,4.3,0.9862547213440792,0.9490685488032619,1.0,1.0,0.6,0.6,0.65,0.35
202310,2023,10,British Grand Prix,20,0.7834586466165413,0.7353383458646616,3.2,3.0,0.9743851205466122,0.9777755841397563,0.6666666666666666,0.6666666666666666,0.6,0.6,0.4,0.6
202311,2023,11,Hungarian Grand Prix,20,0.8902255639097743,0.6300751879699248,2.2,3.8,0.9779460753649384,0.9544767547109863,0.3333333333333333,0.6666666666666666,0.6,0.8,0.65,0.45
202314,2023,14,Italian Grand Prix,20,0.7834586466165413,0.8556390977443609,3.0,2.4,0.9525019127747426,0.9795471966430628,0.3333333333333333,0.6666666666666666,0.4,1.0,0.5,0.7
